Year,Indicator Name,Indicator Code,Value
2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.035075967
2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.430693964
2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.099502422
2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.434731851
2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.847498785
2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.570919393
2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.729100789
2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.208699194
2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.749418723
2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.287395484
2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.258572744
2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.317708711
2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.724789215
2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.27925468
2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.277398347
2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.413075554
2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.255288194
2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.018687737
2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.692209008
1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.359366933
1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.661503894
1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.860823459
1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.646560286
1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.90749241
1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.251672179
1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.181563089
1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.723971433
1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.459643175
1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.753104076
1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.217922669
1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.106667917
1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.774073041
1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.367743371
1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.526804619
1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.056814933
1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.140565316
1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.708510256
1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.571969885
1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.456074885
1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.790765245
1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.732161736
1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.328670701
1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.393780649
2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,10.3409544
2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.5038323
2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.41392776
2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.63233791
2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.59296008
2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.66540928
2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.70881766
2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.00637567
2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.47915795
2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.91128166
2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.86873533
